"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added"
"Soma Spirits: Rebalance","0","0","6","0","3.00","3.00","0.50","N/A","0.0","0.00","0.00","1","0.43","2017-04-17"
"Premium Pool Arena","0","0","5","0","2.39","2.39","0.48","N/A","0.0","5.32","5.32","4","1.25","2017-04-16"
"GoBlock's Impossible Medley","0","0","5","0","1.89","1.89","0.38","N/A","0.0","0.00","0.00","3","0.99","2017-04-16"
"My Own Little Planet","0","0","5","0","1.00","1.00","0.20","N/A","0.0","0.00","0.00","1","0.17","2017-04-16"
"Last Heroes 4","0","0","5","0","2.24","2.24","0.45","N/A","0.0","0.00","0.00","3","0.78","2017-04-16"
"Dash Fleet","0","0","5","0","0.25","0.25","0.05","N/A","0.0","0.00","0.00","1","0.04","2017-04-15"
"MetaTron","0","0","6","0","0.90","0.90","0.15","N/A","0.0","0.00","0.00","25","0.39","2017-04-15"
"Atom Fishing II","0","0","5","0","2.69","2.69","0.54","N/A","0.0","1.07","3.65","16","1.41","2017-04-15"
"Late Shift","0","0","8","0","2.34","2.34","0.29","N/A","0.0","0.00","0.00","1","0.50","2017-04-15"
"Steampunk Syndicate","0","0","10","0","1.84","1.84","0.18","N/A","0.0","0.00","0.00","13","0.78","2017-04-15"
"Immortal Redneck","0","0","9","0","96.19","96.19","10.69","N/A","0.0","0.00","0.00","1","27.89","2017-04-15"
"Asura","0","0","8","0","1.14","1.14","0.14","0.46","-228.6","0.00","0.00","19","0.49","2017-04-14"
"Nighthaw-X3000","0","0","7","0","4.33","4.33","0.62","N/A","0.0","0.00","0.00","2","1.62","2017-04-14"
"Aesthetic Melody","0","0","5","0","575.00","575.00","115.00","N/A","0.0","0.00","0.00","1","100.00","2017-04-14"
"Crazy Buggy Racing","0","0","5","0","1.15","1.15","0.23","N/A","0.0","0.00","0.00","9","0.60","2017-04-14"
"Need For Drink","0","0","7","0","0.99","0.99","0.14","N/A","0.0","3.18","0.53","17","0.49","2017-04-14"
"Rogue Port - Blue Nightmare","0","0","12","0","1.79","1.79","0.15","N/A","0.0","0.00","0.00","6","0.78","2017-04-14"
"The Revenge of Johnny Bonasera","0","0","7","0","1.83","1.83","0.26","N/A","0.0","0.00","0.00","6","0.90","2017-04-14"
"Army Gals","0","0","5","0","4.47","4.47","0.89","N/A","0.0","0.00","0.00","4","2.32","2017-04-14"
"Oscar Mike VR","0","0","6","0","0.66","0.66","0.11","N/A","0.0","0.00","0.00","1","0.10","2017-04-13"
"Moonfall","0","0","6","0","3.12","3.12","0.52","N/A","0.0","0.00","0.00","6","1.36","2017-04-13"
"Skyforge","0","0","10","0","9.34","9.34","0.93","0.50","46.2","1.30","6.90","10","4.04","2017-04-13"
"A Normal Lost Phone","0","0","5","0","1.00","1.00","0.20","N/A","0.0","0.00","0.00","8","0.52","2017-04-13"
"Biotoxin: The Dark Days","0","0","5","0","0.96","0.96","0.19","N/A","0.0","0.00","0.00","15","0.50","2017-04-13"
"Life Beetle","0","0","5","0","2.00","2.00","0.40","N/A","0.0","0.00","0.00","1","0.35","2017-04-13"
"Phantom Halls","0","0","11","0","8.51","8.51","0.77","N/A","0.0","0.00","0.00","2","4.02","2017-04-13"
